net,ref,pin,pin_name,part
GP26,U6,12,B7,SN74LVC245APWR (status out)
GP26,U1,38,GP26,RP2040
RB6,U6,8,A7,SN74LVC245APWR (status out)
RB6,R26,1,1,33R RB6
GP27,U6,11,B8,SN74LVC245APWR (status out)
GP27,U1,39,GP27,RP2040
RB7,U6,9,A8,SN74LVC245APWR (status out)
RB7,R27,1,1,33R RB7
READY,U7,2,A,SN74LVC1G125DBVR
READY,U1,16,GP13,RP2040
RB7S,U7,4,Y,SN74LVC1G125DBVR
RB7S,R28,1,1,33R D7 status
5V_FUSED,F1,2,2,PTC 0.5A hold
5V_FUSED,D1,2,A,B5819W
VBUS,J2,A4,VBUS,USB-C 16P receptacle
VBUS,J2,A9,VBUS,USB-C 16P receptacle
VBUS,J2,B4,VBUS,USB-C 16P receptacle
VBUS,J2,B9,VBUS,USB-C 16P receptacle
VBUS,D2,2,A,B5819W
DVDD,U1,45,VREG_VOUT,RP2040
DVDD,U1,23,DVDD,RP2040
DVDD,U1,50,DVDD,RP2040
DVDD,C20,1,1,1uF DVDD
DVDD,C21,1,1,1uF DVDD
XIN,U1,20,XIN,RP2040
XIN,Y1,1,XTAL1,ABM8-272-T3 12MHz
XIN,C26,1,1,15pF XIN
XOUT,U1,21,XOUT,RP2040
XOUT,R5,1,1,1k XOUT
XOUT_R,R5,2,2,1k XOUT
XOUT_R,Y1,3,XTAL2,ABM8-272-T3 12MHz
XOUT_R,C27,1,1,15pF XOUT
QSPI_SD0,U1,53,QSPI_SD0,RP2040
QSPI_SD0,U2,5,DI_IO0,W25Q32JVSSIQ
QSPI_SD1,U1,55,QSPI_SD1,RP2040
QSPI_SD1,U2,2,DO_IO1,W25Q32JVSSIQ
QSPI_SD2,U1,54,QSPI_SD2,RP2040
QSPI_SD2,U2,3,nWP_IO2,W25Q32JVSSIQ
QSPI_SD3,U1,51,QSPI_SD3,RP2040
QSPI_SD3,U2,7,nHOLD_IO3,W25Q32JVSSIQ
QSPI_SCLK,U1,52,QSPI_SCLK,RP2040
QSPI_SCLK,U2,6,CLK,W25Q32JVSSIQ
QSPI_SS,U1,56,QSPI_SS_N,RP2040
QSPI_SS,U2,1,nCS,W25Q32JVSSIQ
QSPI_SS,R7,1,1,10k QSPI_SS
QSPI_SS,R8,1,1,1k BOOTSEL
BOOTSEL,R8,2,2,1k BOOTSEL
BOOTSEL,SW1,1,1,TS-1187A tactile BOOTSEL
BOOTSEL,SW1,2,1B,TS-1187A tactile BOOTSEL
RUN,U1,26,RUN,RP2040
RUN,R6,1,1,10k RUN
RUN,SW2,1,1,TS-1187A tactile RESET
RUN,SW2,2,1B,TS-1187A tactile RESET
SWCLK,U1,24,SWCLK,RP2040
SWCLK,J5,1,SWCLK,SWD 1x3
SWDIO,U1,25,SWD,RP2040
SWDIO,J5,3,SWDIO,SWD 1x3
USB_DP,U1,47,USB_DP,RP2040
USB_DP,R1,1,1,27R USB
USB_DP_C,R1,2,2,27R USB
USB_DP_C,J2,A6,DP,USB-C 16P receptacle
USB_DP_C,J2,B6,DP,USB-C 16P receptacle
USB_DM,U1,46,USB_DM,RP2040
USB_DM,R2,1,1,27R USB
USB_DM_C,R2,2,2,27R USB
USB_DM_C,J2,A7,DM,USB-C 16P receptacle
USB_DM_C,J2,B7,DM,USB-C 16P receptacle
CC1,J2,A5,CC1,USB-C 16P receptacle
CC1,R3,1,1,5.1k CC1
CC2,J2,B5,CC2,USB-C 16P receptacle
CC2,R4,1,1,5.1k CC2
I2S_DIN,U1,27,GP16,RP2040
I2S_DIN,U10,1,DIN,MAX98357AETE+T
I2S_BCLK,U1,28,GP17,RP2040
I2S_BCLK,U10,16,BCLK,MAX98357AETE+T
I2S_LRCLK,U1,29,GP18,RP2040
I2S_LRCLK,U10,14,LRCLK,MAX98357AETE+T
AMP_EN,U1,30,GP19,RP2040
AMP_EN,R10,1,1,1k SD_MODE
SD_MODE,R10,2,2,1k SD_MODE
SD_MODE,U10,4,SD_MODE,MAX98357AETE+T
SPK+,U10,9,OUTP,MAX98357AETE+T
SPK+,J3,1,SPK+,B2B-PH-K-S speaker
SPK-,U10,10,OUTN,MAX98357AETE+T
SPK-,J3,2,SPK-,B2B-PH-K-S speaker
PWM,U1,14,GP11,RP2040
PWM,R11,1,1,3.3k line-out 1
LO1,R11,2,2,3.3k line-out 1
LO1,C28,1,1,22nF line-out 1
LO1,R12,1,1,3.3k line-out 2a
LO1B,R12,2,2,3.3k line-out 2a
LO1B,R13,1,1,30k line-out 2b
LO1B,JP8,1,1,"VINTAGE: bridged=3.3k, open=33k"
LO2,R13,2,2,30k line-out 2b
LO2,JP8,2,2,"VINTAGE: bridged=3.3k, open=33k"
LO2,C29,1,1,22nF line-out 2
LO2,C25,1,1,10uF line-out AC
LO_OUT,C25,2,2,10uF line-out AC
LO_OUT,R14,1,1,100k bleed
LO_OUT,J4,2,TIP,3.5mm jack PJ-320A
LO_OUT,J4,3,RING,3.5mm jack PJ-320A
SBY,U1,17,GP14,RP2040
SBY,R9,1,1,1k SBY LED
LED_A,R9,2,2,1k SBY LED
LED_A,LED1,2,A,LED green SBY
GP28,U1,40,GP28,RP2040
GP28,JP9,1,1,board ID bit 0 to GND
GP29,U1,41,GP29,RP2040
GP29,JP10,1,1,board ID bit 1 to GND
